Brand,Model,Storage,Marketplace,Category,Link,priceInitial,pricePromo,promotiontype,collectionTime
Apple,iPhone 14,256GB,Newegg,PC Laptops,https://www.newegg.com/apple-iphone-14-6-1-inch-5g-lte-blue/p/N82E16875113984,6863.6,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy S22,256GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-s22-6-1-5g-phantom-white/p/N82E16875168107,6613.1,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy S22,256GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-s22-6-6-full-rectangle-6-4-rounded-corners-5g-phantom-black/p/N82E16875168113,7615.1,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy S22,256GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-s22-6-6-full-rectangle-6-4-rounded-corners-5g-green/p/N82E16875168116,7615.1,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy S22,256GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-s22-6-6-full-rectangle-6-4-rounded-corners-5g-phantom-white/p/N82E16875168115,8126.12,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy A55,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a55-5g-6-6-awesome-lilac/p/N82E16875168210,4609.1,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy A06,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a06-6-7-gsm-hspa-lte-light-blue/p/N82E16875168239,1152.2,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy A06,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a06-6-7-gsm-hspa-lte-light-green/p/N82E16875168240,1152.2,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy A06,64GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a06-6-7-gsm-hspa-lte-light-green/p/N82E16875168237,1052.0,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy A06,64GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a06-6-7-gsm-hspa-lte-black/p/N82E16875168235,1052.0,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy A35,256GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a35-5g-6-6-awesome-lemon/p/N82E16875168207,4007.9,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy A35,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a35-5g-6-6-awesome-lilac/p/N82E16875168205,3607.1,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy A06,64GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a06-6-7-gsm-hspa-lte-light-blue/p/N82E16875168236,1332.56,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy S22,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-s22-6-1-5g-phantom-black/p/N82E16875168102,0.0,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy A05,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a05-6-7-black/p/N82E16875168203,1052.0,N/A,Aucune,2025-02-02 18:46:07
SAMSUNG,Galaxy A55,256GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a55-5g-168-3mm-163-7mm-black/p/N82E16875168196,4609.1,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy Z,256GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-z-flip-3-5g-6-7-black/p/N82E16875168091,0.0,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy S22,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-s22-6-1-5g-pink/p/N82E16875168105,0.0,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy A55,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-a55-5g-6-6-awesome-navy/p/N82E16875168202,4308.5,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy A35,256GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a35-5g-6-6-awesome-lilac/p/N82E16875168204,3907.7,N/A,Aucune,2025-02-02 18:46:07
Samsung,Galaxy S22,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-s22-6-6-full-rectangle-6-4-rounded-corners-5g-phantom-black/p/N82E16875168114,0.0,N/A,Aucune,2025-02-02 18:46:07
Brand,Model,Storage,Marketplace,Category,Link,priceInitial,pricePromo,promotiontype,collectionTime
Apple,iPhone 13,128GB,Newegg,PC Laptops,https://www.newegg.com/p/N82E16875827041,4009.85,N/A,Aucune,2025-02-05 21:00:08
Apple,iPhone 13,128GB,Newegg,PC Laptops,https://www.newegg.com/p/N82E16875827041,4009.85,N/A,Aucune,2025-02-05 21:00:08
