Brand,Model,Storage,marketplace,category,link,priceInitial,pricePromo,promotiontype,collectionTime
Samsung,Galaxy TAB A7,32GB,Jumia,tablette,https://www.jumia.ma/samsung-galaxy-tab-a7-lite-android-32go-3go-gris-62787644.html,1799.0,1529.0,15%,2025-01-31 00:41:03
Apple,iPad AIR 4,64GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-air-4-9.7-rom-64go-ram-4go-ipad-os17-gris-camera-frontale-8-camera-arriere-12-wi-fi-remis-a-neuf-65453478.html,5999.0,4464.05,26%,2025-01-31 00:41:03
Apple,iPad 9ème,64GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-9eme-9.7-rom-64go-ram-4go-ipad-os17-gris-camera-frontale-2-camera-arriere-8-wifi-remis-a-neuf-65754075.html,3599.0,2799.0,22%,2025-01-31 00:41:03
APPLE,iPad 8ème,32GB,Jumia,tablette,https://www.jumia.ma/generic-tablette-apple-ipad-8eme-10.2-rom-32-go-ram-4go-ipad-os17-gris-camera-frontale-2-camera-arriere-8-4gwi-fi-remis-a-neuf-65758167.html,3799.0,2999.0,21%,2025-01-31 00:41:03
Apple,iPad Air2,32GB,Jumia,tablette,https://www.jumia.ma/apple-tabltte-ipad-air2-gris-wi-fi-rom-32go-ram-4go-remis-a-neuf-63509196.html,3299.0,1799.0,45%,2025-01-31 00:41:03
Apple,iPad AIR 4,64GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-air-4-9.7-rom-64go-ram-4go-ipad-os17-gris-camera-frontale-8-camera-arriere-12-wi-fi-remis-a-neuf-65641657.html,5999.0,4499.0,25%,2025-01-31 00:41:03
Apple,iPad Air 2,32GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-air-2-9.7-po-32-go-gris-wi-fi-remis-a-neuf-63466975.html,3000.0,2299.0,23%,2025-01-31 00:41:03
Apple,iPad Air 2,64GB,Jumia,tablette,https://www.jumia.ma/apple-ipad-air-2-9.7-po-64-go-gris-wi-fi-remis-a-neuf-39850943.html,3000.0,2299.0,23%,2025-01-31 00:41:03
Apple,iPad 8ème,32GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-8eme-9.7-rom-32go-ram-4go-ipad-os17-gris-camera-frontale-2-camera-arriere-8-wifi-remis-a-neuf-65754030.html,3199.0,2799.0,13%,2025-01-31 00:41:03
Apple,iPad 6ème,128GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-6eme-9.7-rom-128-go-ram-4go-ipad-os17-gris-camera-frontale-2-camera-arriere-8-4gwi-fi-remis-a-neuf-65641250.html,3599.0,2299.0,36%,2025-01-31 00:41:03
XIAOMI,REDMI PAD SE,64GB,Jumia,tablette,https://www.jumia.ma/xiaomi-redmi-pad-se-87-4g-464go-hyperos-android-u-mediatek-helio-g85-wi-fi-5-double-bande-double-haut-parleur-dolby-atmos-6650-mah-usb-2.0-charge-rapide-de-18w-graphite-grey-65948932.html,2142.0,1449.0,32%,2025-01-31 00:41:07
Apple,iPad PRO,256GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-pro-m1-12.9-rom-256go-ram-8go-ipad-os18-gris-wi-fi-remis-a-neuf-65915138.html,9899.0,7999.0,19%,2025-01-31 00:41:07
Apple,iPad Air2,16GB,Jumia,tablette,https://www.jumia.ma/apple-tabltte-ipad-air2-gris-wi-fi-rom-16go-ram-4go-remis-a-neuf-65641067.html,2199.0,1999.0,9%,2025-01-31 00:41:07
XIAOMI,Redmi Pad SE,128GB,Jumia,tablette,https://www.jumia.ma/xiaomi-redmi-pad-se-8.7-128go-6-go-ram-urban-grey-65705082.html,1999.0,N/A,Aucune,2025-01-31 00:41:07
Apple,iPad 9EME,32GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-9eme-generation-9.7-rom-32go-ram-4go-ipad-os17-gris-wi-fi-remis-a-neuf-65947253.html,3599.0,3299.0,8%,2025-01-31 00:41:07
Apple,iPad AIR 5,64GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-air-5-apple-m1-10.9-rom-64go-ram-4go-ipad-os17-gris-cameacutera-frontale-8-cameacutera-arriegravere-12-wi-fi-remis-agrave-neuf-65640730.html,5999.0,5499.0,8%,2025-01-31 00:41:07
Apple,iPad PRO,256GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-pro-m2-12.9-rom-256go-ram-8go-ipad-os18-gris-wi-fi-remis-a-neuf-65915148.html,10999.0,8999.0,18%,2025-01-31 00:41:07
Samsung,Galaxy Tab S7,128GB,Jumia,tablette,https://www.jumia.ma/samsung-galaxy-tab-s7-plus-ecran-12.4-120hz-128-go-6-go-ram-bleu-wi-fi-remis-a-neuf-63111483.html,6199.0,5699.0,8%,2025-01-31 00:41:07
Apple,iPad Air1,16GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-air1-9.7-rom-16-go-ram-2go-ipad-os15-gris-camera-frontale-2-camera-arriere-8-wi-fi-remis-a-neuf-65948801.html,2799.0,1499.0,46%,2025-01-31 00:41:07
Apple,iPad 9EME,128GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-9eme-generation-9.7-rom-128go-ram-4go-ipad-os17-gris-wi-fi-remis-a-neuf-65947259.html,3699.0,3299.0,11%,2025-01-31 00:41:07
Apple,iPad 9ᵉ,3GB,Jumia,tablette,https://www.jumia.ma/apple-ipad-9-generation-a13-bionic-ecran-retina-10.2-3go64go-wifi-8mpx12mpx-ipados-15-argent-neuf-64867203.html,4100.0,3999.0,2%,2025-01-31 00:41:07
Samsung,Galaxy Tab A9,128GB,Jumia,tablette,https://www.jumia.ma/samsung-tablette-galaxy-tab-a9-lte-4g-8gb-128go-mystic-silver-sm-x115nzsemwd-65143465.html,3532.0,2445.0,31%,2025-01-31 00:41:07
XIAOMI,Redmi Pad SE,4GB,Jumia,tablette,https://www.jumia.ma/xiaomi-redmi-pad-se-87-pouces-4-go-128-go-double-haut-parleur-6-650-mah-usb-2.0-gris-65703923.html,2336.0,1699.0,27%,2025-01-31 00:41:07
